               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.047678,             0.37143,                   0,              0.9639,             0.93017,             0.97228,             0.50224,            0.043028,             0.28362,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.046504,             0.37324,                   0,             0.94809,             0.93017,             0.96204,              0.4568,             0.04674,             0.29553,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.050566,             0.38814,                   0,             0.95776,             0.93103,             0.97414,             0.50623,            0.043131,             0.28745,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.046534,             0.35831,                   0,             0.95666,             0.91983,              0.9652,             0.48703,            0.044792,             0.28952,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.046288,             0.35773,                   0,             0.95314,             0.92586,              0.9707,             0.50688,            0.043282,              0.2869,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.046379,             0.37714,                   0,             0.95921,             0.91638,             0.96604,             0.49383,            0.043927,             0.29471,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.046589,             0.39563,                   0,             0.95806,             0.92553,             0.97222,             0.51514,            0.042456,             0.28795,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.046116,             0.35241,                   0,             0.94248,             0.88994,             0.94339,             0.43432,            0.048456,             0.29571,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.048114,              0.3727,                   0,             0.95415,             0.92931,              0.9716,             0.50214,            0.042946,             0.28668,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.046427,             0.35407,                   0,             0.91309,             0.89224,             0.92851,             0.37831,            0.051588,             0.29412,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.052254,             0.37622,                   0,             0.95187,             0.92058,             0.97132,             0.50592,            0.042858,              0.2871,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.045771,             0.37984,                   0,             0.95674,             0.93424,             0.97335,             0.51345,            0.043762,             0.28795,                   0,            0.005644,            0.005644,            0.005644
